Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
95,3840,231,418.584,100.639,186,66,2.32071,324.324,129.846,326.997,63.9,512.844,71.4317,510.172,137.378
96,3880,231,412.537,97.1322,186,66,2.26515,318.305,126.431,320.914,60.4822,506.768,67.8337,504.16,133.782
97,3920,232,404.923,97.2648,186,66,1.92936,310.865,127.115,313.087,61.1525,498.981,67.4146,496.759,133.377
98,3960,229,399.136,94.5798,186,66,2.0584,305.011,124.218,307.382,58.2607,493.262,64.9415,490.891,130.899
99,4000,230,399.474,94.6673,186,66,2.13758,305.308,124.176,307.77,58.2215,493.64,65.1591,491.179,131.113
100,4040,232,393.738,92.9134,186,66,2.13587,299.572,122.424,302.032,56.4703,487.903,63.4023,485.443,129.356
101,4080,235,384.197,91.5285,186,66,1.69792,290.26,121.758,292.216,55.7874,478.134,61.2986,476.179,127.27
102,4120,227,379.323,91.5908,186,66,1.55398,285.462,122.057,287.252,56.0809,473.184,61.125,471.394,127.101
103,4160,228,374.647,91.4232,186,66,1.48993,280.82,121.994,282.536,56.0162,468.473,60.8525,466.757,126.83
104,4200,230,374.636,91.7768,186,66,1.48613,280.811,122.354,282.523,56.376,468.46,61.1999,466.749,127.178
105,4240,230,374.301,91.6004,186,66,1.51451,280.461,122.131,282.206,56.1539,468.141,61.07,466.396,127.047
106,4280,227,368.053,90.4819,186,66,1.51589,274.212,121.01,275.958,55.0332,461.893,59.9537,460.147,125.931
107,4320,228,368.715,88.6744,186,66,1.75355,274.749,118.813,276.769,52.844,462.682,58.5357,460.662,124.505
108,4360,234,372.241,85.6413,186,66,2.14335,278.072,115.14,280.541,49.1862,466.411,56.1426,463.942,122.096
109,4400,234,372.192,85.6833,186,66,2.04158,278.076,115.349,280.427,49.3911,466.309,56.0173,463.958,121.975
110,4440,227,376.08,80.7002,186,66,2.15053,281.907,110.187,284.384,44.2336,470.253,51.2133,467.776,117.167
111,4480,231,380.686,79.5568,186,66,1.68204,286.757,109.813,288.695,43.8412,474.614,49.3009,472.677,115.272
112,4520,231,383.994,78.7947,186,66,1.61479,290.101,109.161,291.96,43.1871,477.887,48.4285,476.027,114.402
113,4560,230,386.164,77.271,186,66,1.66237,292.246,107.559,294.161,41.5869,480.083,46.9828,478.168,112.955
114,4600,229,385.78,77.3545,186,66,1.51584,291.94,107.883,293.686,41.9059,479.621,46.8262,477.875,112.803
115,4640,228,381.598,75.8956,186,66,1.58042,287.723,106.318,289.544,40.3432,475.473,45.4731,473.652,111.448
116,4680,228,384.051,72.1558,186,66,2.12173,289.893,101.69,292.337,35.7353,478.209,42.6215,475.766,108.576
117,4720,227,384.199,71.6193,186,66,2.03116,290.088,101.302,292.427,35.3438,478.31,41.9362,475.971,107.895
118,4760,233,384.39,72.6241,186,66,1.63787,290.484,102.952,292.371,36.9794,478.295,42.2957,476.408,108.269
119,4800,233,384.214,72.5715,186,66,1.65313,290.301,102.875,292.205,36.9023,478.127,42.2682,476.223,108.241
120,4840,229,382.813,72.9824,186,66,1.47788,288.993,103.573,290.695,37.5948,476.633,42.392,474.931,108.37
121,4880,230,372.516,71.8009,186,66,1.76494,278.544,101.921,280.576,35.9522,466.488,41.6809,464.455,107.65
122,4920,227,365.348,71.148,186,66,1.91068,271.3,101.029,273.5,35.0656,459.397,41.2671,457.196,107.23
123,4960,232,361.966,70.3053,186,66,1.9875,267.878,100.06,270.167,34.0998,456.055,40.5506,453.766,106.511
124,5000,230,361.803,70.2963,186,66,1.95414,267.732,100.106,269.982,34.1442,455.874,40.4867,453.624,106.448
125,5040,225,361.403,69.5316,186,66,1.90218,267.359,99.4264,269.55,33.4628,455.447,39.6367,453.257,105.6
126,5080,226,363.549,69.0245,186,66,1.82425,269.546,99.0473,271.647,33.0807,457.553,39.0018,455.452,104.968
127,5120,231,362.462,69.8199,186,66,1.60897,268.573,100.196,270.426,34.2216,456.352,39.4442,454.499,105.418
128,5160,230,360.621,69.8531,186,66,1.49702,266.79,100.412,268.514,34.4348,454.451,39.294,452.727,105.271
